Kategori,Alt Kategori,Ürün Grubu,Komisyon_%_KDV_Dahil
Otomobil,Elektrikli Motosiklet,Elektrikli Motosiklet,8.5
Otomobil,Jant,Jant ve Jant Kapakları,13.5
Otomobil,Motor Bakım,Motor Bakım Ürünleri,13.5
Otomobil,Motosiklet Aksesuar,Motosiklet Aksesuarları,15.0
Otomobil,Motosiklet Çanta,Motorcu Sırt Çantaları,13.5
Otomobil,Motosiklet Çanta,Motosiklet Çanta ve Kask,14.0
Otomobil,Motosiklet Yedek,Motosiklet Yedek Parça,16.5
Otomobil,Oto Aksesuar,Oto Aksesuar,16.5
Otomobil,Oto Aksesuar,Oto Branda,16.5
Otomobil,Oto Bakım,Oto Temizlik Ürünleri,16.5
Otomobil,Oto Ses Görüntü,Oto Ses Sistemleri,14.0
Otomobil,Lastik,Motosiklet Lastikleri,11.0
Otomobil,Lastik,Oto Lastikleri,9.5
Otomobil,Yedek Parça,Otomobil Yedek Parça,14.0
Otomobil,Yağ,Yağ ve Motor Katkıları,14.0
Spor,Outdoor,Aksiyon Kamera Aksesuarları,15.5
Spor,Outdoor,Aksiyon Kameraları,12.0
Spor,Outdoor,Avcılık & Balıkçılık,15.5
Spor,Outdoor,Kamp Ekipmanları,15.5
Spor,Outdoor,Diğer Outdoor,15.5
Spor,Outdoor,Dürbün ve Teleskop,15.5
Spor,Outdoor,Kamp Masa Sandalye,15.5
Spor,Outdoor,Kamp Matara,15.5
Spor,Outdoor,Tekne & Yat,15.5
Spor,Outdoor,Tekne Motorları,10.0
Spor,Outdoor,Termos,16.0
Spor,Spor Ekipmanları,Bisiklet,13.0
Spor,Spor Ekipmanları,Bisiklet Aksesuarları,12.0
Spor,Spor Ekipmanları,Branş Sporları,15.5
Spor,Spor Ekipmanları,Dambıl ve Ağırlıklar,13.5
Spor,Spor Ekipmanları,Diğer Spor Aksesuarları,15.5
Spor,Spor Ekipmanları,Elektrikli Scooter,12.0
Spor,Spor Ekipmanları,Kondisyon Aletleri,13.0
Spor,Spor Ekipmanları,Paten ve Kaykay,13.0
Spor,Spor Ekipmanları,Pilates & Yoga,15.5
Spor,Spor Ekipmanları,Şişme Bot ve Havuz,12.0
Spor,Spor Ekipmanları,Kış Sporları,15.5
Spor,Spor Ekipmanları,Yüzme Malzemeleri,16.0
Süpermarket,Anne Bakım,Göğüs Bakım Ürünleri,17.29
Süpermarket,Bebek Bakım,Bebek Bakım Örtüsü,17.29
Süpermarket,Bebek Bakım,Bebek Bakım Seti,17.29
Süpermarket,Bebek Bakım,Bebek Kozmetik,17.29
Süpermarket,Bebek Bakım,Bebek Bezi,11.19
Süpermarket,Bebek Bakım,Bebek Güneş Kremi,17.29
Süpermarket,Bebek Bakım,Bebek Islak Mendil,11.19
Süpermarket,Bebek Bakım,Bebek Kremi ve Yağı,17.29
Süpermarket,Bebek Bakım,Bebek Şampuanı,17.29
Süpermarket,Bebek Beslenme,Bebek Maması,14.24
Süpermarket,Bebek Beslenme,Bebek Sütü,14.24
Süpermarket,Ev Bakım,Bebek Deterjanı,12.2
Süpermarket,Ev Bakım,Bulaşık Makinesi Deterjanı,12.2
Süpermarket,Ev Bakım,Bulaşık Yıkama,12.2
Süpermarket,Ev Bakım,Çamaşır Deterjanı,12.2
Süpermarket,Ev Bakım,Çamaşır Yıkama Ürünleri,12.2
Süpermarket,Ev Bakım,Elde Bulaşık Deterjanı,12.2
Süpermarket,Ev Bakım,Ev Temizlik Gereçleri,12.2
Süpermarket,Ev Bakım,Islak Mendil,11.19
Süpermarket,Ev Bakım,Kağıt Havlu,12.2
Süpermarket,Ev Bakım,Kağıt Peçete,12.2
Süpermarket,Ev Bakım,Paspas ve Mop,13.22
Süpermarket,Ev Bakım,Temizlik Ürünleri,12.2
Süpermarket,Ev Bakım,Tuvalet Kağıdı,12.2
Süpermarket,Gıda,Atıştırmalık ve Kuru Gıda,15.25
Süpermarket,Gıda,Bardak Poşet Çay,15.25
Süpermarket,Gıda,Çikolata,12.2
Süpermarket,Gıda,Demlik Poşet Çay,12.2
Süpermarket,Gıda,Diğer Gıda,15.25
Süpermarket,Gıda,Dökme Çay,8.14
Süpermarket,Gıda,Enerji İçeceği,15.25
Süpermarket,Gıda,Filtre ve Çekirdek Kahve,12.2
Süpermarket,Gıda,Granül Kahve,12.2
Süpermarket,Gıda,Gurme & Organik,15.25
Süpermarket,Gıda,Hazır Noodle,15.25
Süpermarket,Gıda,Helva,15.25
Süpermarket,Gıda,Kapsül Kahve,12.2
Süpermarket,Gıda,Krem Çikolata,12.2
Süpermarket,Gıda,Küvertür Çikolata,12.2
Süpermarket,Gıda,Özel Ezme,15.25
Süpermarket,Gıda,Peynir,8.14
Süpermarket,Gıda,Polen ve Propolis,15.25
Süpermarket,Gıda,Sıvı Yağ,8.14
Süpermarket,Gıda,Sürülebilir Çikolata,12.2
Süpermarket,Gıda,Tahin,15.25
Süpermarket,Gıda,Ton Balığı,15.25
Süpermarket,Gıda,Türk Kahvesi,10.17
Süpermarket,Gıda,Zeytinyağı,10.17
Süpermarket,Pet Shop,Diğer Petshop,18.31
Süpermarket,Pet Shop,Kedi Konserve Maması,15.25
Süpermarket,Pet Shop,Kedi Kumu,15.25
Süpermarket,Pet Shop,Kedi ve Köpek Maması,15.25
Süpermarket,Pet Shop,Kedi Vitamini,18.31
Süpermarket,Sağlık,Cinsel Sağlık,17.29
Süpermarket,Sağlık,Genel Sağlık,17.29
Süpermarket,Sağlık,Gıda Takviyesi,17.29
Süpermarket,Sağlık,Hasta Bezi,17.29
Süpermarket,Sağlık,Medikal Maske,15.25
Süpermarket,Sağlık,Sporcu Besini,17.29
Aksesuar,Atkı & Bere & Eldiven,Atkı,21.36
Aksesuar,Atkı & Bere & Eldiven,Atkı & Bere & Eldiven Set,21.36
Aksesuar,Atkı & Bere & Eldiven,Bere,21.36
Aksesuar,Atkı & Bere & Eldiven,Boyunluk,21.36
Aksesuar,Atkı & Bere & Eldiven,Eldiven,21.36
Aksesuar,Atkı & Bere & Eldiven,Şal & Fular & Eşarp,21.36
Aksesuar,Diğer Aksesuar,Kemer,22.37
Aksesuar,Diğer Aksesuar,Saç Aksesuarı,22.37
Aksesuar,Diğer Aksesuar,Kravat & Pantolon Askısı,22.37
Aksesuar,Diğer Aksesuar,Kol Düğmesi,22.37
Aksesuar,Diğer Aksesuar,Şapka,22.37
Aksesuar,Takı,Halhal&Ayak Aksesuarları,22.37
Aksesuar,Takı,Bijuteri Bileklik,22.37
Aksesuar,Takı,Çelik Bileklik,22.37
Aksesuar,Takı,Gümüş Bileklik,22.37
Aksesuar,Takı,Choker,22.37
Aksesuar,Takı,Bijuteri Kolye,22.37
Aksesuar,Takı,Çelik Kolye,22.37
Aksesuar,Takı,Gümüş Küpe,22.37
Aksesuar,Takı,Gümüş Kolye,22.37
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe Dekorasyonu,17.5
Bahçe & Elektrikli El Aletleri,Bahçe,Çitler,17.5
Bahçe & Elektrikli El Aletleri,Bahçe,Gübre,17.5
Bahçe & Elektrikli El Aletleri,Bahçe,Kuzine ve Sobalar,17.5
Bahçe & Elektrikli El Aletleri,Bahçe,Saksı,17.5
Bahçe & Elektrikli El Aletleri,Bahçe,Şömine,17.5
Bahçe & Elektrikli El Aletleri,Bahçe,Tohumlar,17.5
Bahçe & Elektrikli El Aletleri,Bahçe,Torf ve Topraklar,17.5
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe Makineleri,14.5
Bahçe & Elektrikli El Aletleri,Bahçe,Çapa Makineleri,14.5
Bahçe & Elektrikli El Aletleri,Bahçe,Tırpanlar,14.5
Bahçe & Elektrikli El Aletleri,Bahçe,Zincirli Ağaç Kesme Makinesi,14.5
Bahçe & Elektrikli El Aletleri,Bahçe,El Aletleri,15.5
Bahçe & Elektrikli El Aletleri,Bahçe,Elektrikli El Aletleri ve Aksesuarları,15.5
Bahçe & Elektrikli El Aletleri,Bahçe,Manuel El Aletleri,15.5
Bahçe & Elektrikli El Aletleri,Bahçe,Akülü Vidalama,15.5
Bahçe & Elektrikli El Aletleri,Bahçe,Matkaplar,15.5
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,El Aletleri,15.5
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,Elektrikli El Aletleri ve Aksesuarları,15.5
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,Manuel El Aletleri,15.5
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,Akülü Vidalama,15.5
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,Matkaplar,15.5
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,Ölçüm Cihazları,15.5
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,Taşlamalar,15.5
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,Tilki Kuyruğu,15.5
Bahçe & Elektrikli El Aletleri,Enerji Sistemleri,Güneş Paneli ve Sistemleri,15.5
Bahçe & Elektrikli El Aletleri,Enerji Sistemleri,Jenaratör,15.5
Bahçe & Elektrikli El Aletleri,Enerji Sistemleri,Rüzgar Türbini,15.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Banyo Bataryası,17.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Banyo Yapı Malzemeleri,17.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Duş Sistemleri,17.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Eviye,17.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Lavabo,17.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Lavabo Bataryası,17.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Klozet,17.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Su Arıtma,13.5
Banyo Yapı & Hırdavat,Elektrik & Tesisat Malzemeleri,Ampul,16.0
Banyo Yapı & Hırdavat,Elektrik & Tesisat Malzemeleri,Elektrik ve Aydınlatma,16.5
Banyo Yapı & Hırdavat,Elektrik & Tesisat Malzemeleri,Güvenlik Ürünleri,18.0
Banyo Yapı & Hırdavat,Hırdavat,El Aletleri,15.5
Banyo Yapı & Hırdavat,Hırdavat,Elektrikli El Aletleri ve Aksesuarları,15.5
